昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
什么15615,男,2023-05-21 13:14:46 北京时间,3161,好高的技术力呜呜，但是感觉这部手书里景元和静流太过亲近了些，看着景元说出这些话难免也感觉有点说不上来的感觉，像遗憾，也像无奈,山东,76,5,1402186067,166320205616
-adjudicator_,保密,2023-05-21 14:25:12 北京时间,1572,6+1厨子，喜欢景元的人都是高品味的[傲娇],黑龙江,40,6,90904084,166332439808
暗猫の祝福,保密,2023-05-21 13:23:24 北京时间,6631,"有几个点[doge]一是做的时候不知道官方pv做的啥，二是不知道仙舟场景是咋样的，所以主要走一个情绪流，不用特别在意硬性的设定,之后东西多了，做起来就更顺手啦",上海,29,6,888465,166321691920
黎明前兆,男,2023-05-21 13:19:20 北京时间,9922,"她教我研习剑技，却始终未能与我亲近一些。但无边的夜色中，哪有比始终当空的明月，更亲近人的存在呢？ ——景元评镜流,这段话可以说是铁道的文案巅峰之一，好就好在它是反传统意象的一种陌生化运用。中国人对月亮的意象往往都在孤苦、凄冷、清幽，不在人间。但景元反其道而用之，月亮虽高悬天空，不近人情，可在夜色之中，有什么能比月亮更亲近人的存在呢？它的月光无处不在，照耀着一切夜行者的旅途。反弹琵琶，方见功力。虽然忽悠的文案质量长期参差不齐，但这里的含金量我认的。[支持]",海南,78,6,21939609,166321002448
不変の永遠を,保密,2023-05-21 12:54:47 北京时间,4771,"景元:记住了吗？,彦卿:记住了,景元:记住什么了？,彦卿:下棋要偷棋子",河南,14,5,414171232,166317065776
帕姆的收藏夹,保密,2023-05-23 13:51:08 北京时间,3529,「吾等云骑，如云翳障空，卫蔽仙舟。」感谢开拓者的创作[给心心],上海,13,6,508103429,166625878144
有一貘焉,保密,2023-05-21 13:49:27 北京时间,3082,"景元角色故事三中提到，他在首次出征就是在一颗海洋星遇到了一种鞘类长生种，它们能寄生操纵人的心智，是他识破了危局力挽狂澜，那是他第一次出征，就崭露头角，后来节节高升，最后被前代剑首邀请，那也是他遇到镜流的开始。,然后他跟随镜流习剑，开启了云上五骁的故事，那是他成为传奇的开始。,但是成为传奇要失去多少东西呢？,仙舟人常说，仙舟是几乎没有传奇的，因为活得久了，很多东西大抵也就和路边儿时遇到的杂耍艺人般习以为常了。但是云上五骁的故事却被广泛传颂，人人称赞五骁的英勇，甚至你在仙舟闲逛，还能在鹤运物流管理员附近的快递盒里找到一堆刀片——那是某个愤慨的读者在为故事把镜流写死鸣不平。,而作为故事里的人，亲身被镜流指导的人，亲自面对了镜流堕入魔阴身的人，亲手对镜流出手的人，将军心里会是什么感受呢？,pv里可以看到景元在镜流堕入魔阴身以后去看过镜流，有人劝他回去，我猜测那里是十王司，用于引渡魔阴身。但是最后镜流还是从那个被羁押的地方跑出来了，还失去理智对曾经的同伴痛下杀手，这中途应该发生了什么事，可能也就是云上五骁的故事被隐去，直到仙舟人都认为那是一个传说的原因。,而云上五骁作为传说反而以故事的形式传唱了出来，不知道将军在面对彦卿时说他也想成为剑首，也想成为云上五骁一样的传奇时，是，什么心情。,但是我很难过。,镜流作为前代剑首，想必从前也是在云骑军里名及一时的存在，而现在堕入魔阴身并叛逃后（姑且称之为叛逃），她的事反而成为了一种禁忌，而她的弟子却几乎不能对此事做出什么回应，或者说，有回应也是徒劳。,那是我第一次作为身外人理解了魔阴身，和死亡一样，那是你无法挽回的离去。,景元也大概快800岁了吧，仙舟人堕入魔阴身的年龄也大部分是这个时候。他在主线剧情中也一直在指导符玄和彦卿，希望把他们锻炼得更出色一点，像极了安排身后事。,然后丹恒和刃（遗器故事过客套里提到了刃的故事）作为曾经与云上五骁相关的人，此时归来，很可能就要重提那段历史。也有猜测说罗刹的棺里是镜流，如果是，云上五骁当真有可能齐聚一堂，那又是一场新的风波。,希望mhy别刀景元[保佑][保佑][保佑]",江苏,33,5,455408958,166326080992
银月为痕,保密,2023-05-21 12:57:57 北京时间,1522,镜流刻意和景元保持不远不近的距离，就是怕堕入魔阴身的时候，景元下不了手。[崩坏3·光辉矢愿_吃西瓜冰],山东,28,6,11966736,166317561456
云宇墨萱,保密,2023-05-21 12:57:08 北京时间,1099,"飞光飞光，劝尔一杯酒。,吾不识青天高，黄地厚。,唯见月寒日暖，来煎人寿。",黑龙江,3,5,350159374,166317422544
稀盐不酸浓盐酸,保密,2023-05-25 14:38:44 北京时间,1301,"我觉得吧，景元入魔，彦卿去处理太老套。,让彦卿入魔，景元亲自清理门户 上弑亲师，下斩爱徒。这刀子才够味。",贵州,29,6,197638956,166929732608
